sl_no,item_code,baan_company,item_name,item_description,features,image,dimensions,ware_house,consumer_basic,ed,pkg,total,item_color,item_category,item_category_code,price_date,created_by,created_date,created_time,timestamp_value,remarks,status
633,STO18SD6XXX,241,KD Optimizer 18 SD6-Single Static Drive Cover Unit  6 Bay,KD Optimizer 18 SD6-Single Static Drive Cover Unit  6 Bay,,KD_Optimizer18_img19.jpg,SD6(915 mm W x 457mm D x 1980mm H),F53,96884,9931,,106815,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
634,STO18TD6XXX,241,KD Optimizer 18 TD6-Twin Mobile Drive Unit 6 Bay,KD Optimizer 18 TD6-Twin Mobile Drive Unit 6 Bay,,KD_Optimizer18_img20.jpg,TD6(915 mm W x 457mm D x 1980mm H),F53,270706,27747,,298453,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
635,STOPHD00XXX,241,KD Optimizer 18 HD-Hinge Door Pair,KD Optimizer 18 HD-Hinge Door Pair,,KD_Optimizer18_img21.jpg,HD(915 mm W x 457mm D x 1980mm H),F53,5021,515,,5536,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
636,STOCH003000,241," CHANNELS 3'0""","CHANNELS 3'0""",,,P1/ P2/ D2/D3,F53,3864,396,,4260,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
637,STOCH006000,241,"CHANNELS 6'0""","CHANNELS 6'0""",,,P1/P2 /D2/ D3,F53,7728,792,,8520,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
638,STOCH009000,241,"CHANNELS 9'0""","CHANNELS 9'0""",,,P1/P2 /D2/ D3,F53,11586,1188,,12774,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
639,STOCH012000,241,"CHANNELS 12'0""","CHANNELS 12'0""",,,P1/P2 /D2/ D3,F53,15405,1579,,16984,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
640,STOCH403000,241,"CHANNELS 3''0""","CHANNELS 3''0""",,,D4,F53,5803,595,,6398,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
641,STOCH406000,241,"CHANNELS 6'0""","CHANNELS 6'0""",,,D4,F53,11586,1188,,12774,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
642,STOCH409000,241,"CHANNELS 9'0""","CHANNELS 9'0""",,,D4,F53,17362,1780,,19141,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
643,STOCH412000,241,"CHANNELS 12'0""","CHANNELS 12'0""",,,D4,F53,23152,2373,,25525,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
644,STOCH503000,241,"CHANNELS 3'0""","CHANNELS 3'0""",,,D5,F53,7728,792,,8520,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
645,STOCH506000,241,"CHANNELS 6'0""","CHANNELS 6'0""",,,D5,F53,15456,1584,,17040,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
646,STOCH509000,241,"CHANNELS 9'0""","CHANNELS 9'0""",,,D5,F53,23152,2373,,25525,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
647,STOCH512000,241,"CHANNELS 12'0""","CHANNELS 12'0""",,,D5,F53,30841,3161,,34002,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
648,STOCH603000,241,Heavy Duty CHANNEL FOR 6 BAY OPT 3FT,Heavy Duty CHANNEL FOR 6 BAY OPT 3FT,,,D6,F53,15639,1603,,17242,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
649,STOCH606000,241,Heavy Duty CHANNEL FOR 6 BAY OPT 6FT,Heavy Duty CHANNEL FOR 6 BAY OPT 6FT,,,D6,F53,22723,2329,,25052,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
650,STOCH609000,241,Heavy Duty CHANNEL FOR 6 BAY OPT 9FT,Heavy Duty CHANNEL FOR 6 BAY OPT 9FT,,,D6,F53,42021,4307,,46328,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
651,STOCH612000,241,Heavy Duty CHANNEL FOR 6 BAY OPT 12FT,Heavy Duty CHANNEL FOR 6 BAY OPT 12FT,,,D6,F53,50677,5194,,55872,,Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
